Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
14-06-2016,122.77,123.06,122.3,123.0,11651700,122.77,10.5999066,119.05,119.66,NA,97.9890063,2016,6,1,2
15-06-2016,123.68,123.87,122.38,122.52,15053000,123.68,74.1226429,119.12,119.78,NA,99.0244838,2016,6,2,2
16-06-2016,122.38,125.67,122.23,125.17,26635000,122.38,-105.11020769999999,119.24,119.89,NA,93.5169004,2016,6,3,2
17-06-2016,123.95,124.1,122.69,123.26,15573800,123.95,128.288914,119.44,120.0,NA,96.86436379999999,2016,6,4,2
20-06-2016,123.21,123.33,122.13,122.26,11866200,123.21,-59.7013217,119.62,120.09,NA,98.1791795,2016,6,0,2
21-06-2016,120.84,121.86,120.77,121.65,14585600,120.84,-192.35474100000002,119.69,120.11,NA,108.3053712,2016,6,1,2
22-06-2016,120.9,121.25,120.68,120.83,7861000,120.9,4.9656728,119.87,120.13,NA,99.6973295,2016,6,2,2
23-06-2016,120.11,121.03,120.06,120.49,10704900,120.11,-65.3433338,120.03,120.15,NA,100.9147429,2016,6,3,2
24-06-2016,126.0,126.82,125.0,126.62,35782900,126.0,490.38376149999993,120.5,120.33,NA,145.9405324,2016,6,4,2
27-06-2016,126.68,127.05,125.83,126.44,21228800,126.68,53.9682782,121.05,120.51,NA,143.08496200000002,2016,6,0,2
28-06-2016,125.32,126.02,125.06,125.56,16001500,125.32,-107.3571682,121.51,120.66,NA,147.1850427,2016,6,1,2
29-06-2016,125.84,126.81,125.7,125.91,12218400,125.84,41.4935082,122.01,120.78,NA,146.7174995,2016,6,2,2
30-06-2016,126.47,126.52,125.5,125.95,15981600,126.47,50.0639623,122.55,120.93,NA,145.91261989999998,2016,6,3,2
01-07-2016,128.41,128.42,127.44,127.66,14940700,128.41,153.3962539,123.03,121.11,NA,137.95813560000002,2016,7,4,3
05-07-2016,129.47,129.59,128.17,128.8,19026200,129.47,82.5478957,123.55,121.35,NA,138.0021352,2016,7,1,3
06-07-2016,130.23,131.15,129.82,130.5,17376700,130.23,58.7004325,124.12,121.59,NA,137.4890101,2016,7,2,3
07-07-2016,129.74,130.12,128.98,129.82,16508500,129.74,-37.6249904,124.58,121.81,NA,136.55733809999998,2016,7,3,3
08-07-2016,130.52,130.52,128.97,129.85,17634200,130.52,60.1201438,125.04,122.04,NA,136.59276739999999,2016,7,4,3
11-07-2016,129.29,129.9,129.16,129.49,10855600,129.29,-94.2392695,125.42,122.2,NA,139.7381686,2016,7,0,3
12-07-2016,127.15,128.54,126.99,128.52,26459600,127.15,-165.5187463,125.65,122.27,NA,145.9882341,2016,7,1,3
13-07-2016,128.32,128.43,127.61,128.0,7377700,128.32,92.0177573,125.93,122.37,NA,146.8721072,2016,7,2,3
14-07-2016,127.33,127.37,126.03,126.31,12132400,127.33,-77.1512965,126.11,122.45,NA,147.9993101,2016,7,3,3
15-07-2016,126.84,127.19,126.33,126.38,13892100,126.84,-38.4831137,126.33,122.55,NA,145.87435449999998,2016,7,4,3
18-07-2016,127.04,127.5,126.63,127.02,8489700,127.04,15.768257899999998,126.49,122.65,NA,143.58565919999998,2016,7,0,3
19-07-2016,127.21,127.35,126.82,126.95,5170700,127.21,13.381467899999999,126.69,122.73,NA,142.5567831,2016,7,1,3
20-07-2016,125.39,126.12,125.31,125.5,11777700,125.39,-143.07049039999998,126.91,122.82,NA,139.1334526,2016,7,2,3
21-07-2016,127.3,127.37,125.6,125.66,9399200,127.3,152.3250396,127.23,122.95,NA,142.1968488,2016,7,3,3
22-07-2016,126.35,126.52,126.01,126.43,7716000,126.35,-74.6272235,127.55,123.03,NA,142.5281382,2016,7,4,3
25-07-2016,125.47,126.21,125.11,125.53,13139400,125.47,-69.6475872,127.52,123.12,NA,92.94222020000001,2016,7,0,3
26-07-2016,126.0,126.14,125.75,126.09,7613200,126.0,42.2410755,127.48,123.21,NA,92.60894809999999,2016,7,1,3
27-07-2016,128.03,128.12,126.04,126.79,17066400,128.03,161.1110142,127.62,123.33,NA,95.9729411,2016,7,2,3
28-07-2016,127.66,128.2,127.21,128.09,9261800,127.66,-28.899095600000003,127.71,123.44,NA,96.0918884,2016,7,3,3
29-07-2016,128.98,129.41,127.88,128.42,13708200,128.98,103.39903079999999,127.84,123.62,NA,98.0518685,2016,7,4,3
01-08-2016,129.22,129.34,128.56,128.57,7109900,129.22,18.6079626,127.88,123.8,NA,92.1525862,2016,8,0,3
02-08-2016,130.27,130.55,129.94,130.04,7652800,130.27,81.2570068,127.92,124.01,NA,92.0947756,2016,8,1,3
